id,full_name,language,contains_cairo,stars,watchers,forks,created_date,pr_count,issues_count,commits_count
513739900,10k-swap/10k_swap-contracts,"{'Cairo': 315978, 'TypeScript': 68355, 'Shell': 687}",True,53,2,16,2022-07-14T02:58:29Z,0,0,30
520712757,grillolepic/almanacNFT_cairo,"{'Cairo': 26168, 'JavaScript': 263}",True,6,2,2,2022-08-03T02:32:35Z,0,0,10
444112251,crytic/amarna,"{'Python': 74570, 'Cairo': 19432}",True,142,3,6,2022-01-03T15:37:36Z,2,13,30
425851845,argentlabs/argent-x,"{'TypeScript': 3483859, 'Svelte': 13800, 'JavaScript': 11395, 'CSS': 9870, 'Shell': 2956, 'HTML': 2244, 'Dockerfile': 533, 'Python': 439, 'MDX': 393}",False,562,27,216,2021-11-08T13:37:56Z,14,30,30
696240942,avnu-labs/avnu-contracts-v2,{'Cairo': 116185},True,13,4,2,2023-09-25T11:24:16Z,0,0,23
563865519,keep-starknet-strange/beerus,"{'Rust': 433643, 'Handlebars': 17503, 'Shell': 10004, 'Dockerfile': 1684, 'JavaScript': 845, 'CSS': 87}",False,190,8,60,2022-11-09T13:59:01Z,3,3,30
596600498,myBraavos/efficient-secp256r1,"{'Cairo': 36689, 'Python': 4419}",True,17,1,4,2023-02-02T14:41:40Z,1,1,10
504108170,myBraavos/starkhouse-execute-deepdive,"{'Cairo': 12727, 'Shell': 107}",True,2,0,1,2022-06-16T10:17:51Z,0,0,2
589985290,myBraavos/starknet-basecamp-aa-example,{'Cairo': 10391},True,4,0,1,2023-01-17T12:03:07Z,0,0,2
515496369,myBraavos/starknet.cc,{'Cairo': 24402},True,3,0,0,2022-07-19T08:19:50Z,0,0,3
492915561,Carbonable/carbon-protocol,"{'Cairo': 410234, 'Shell': 7861}",True,43,1,14,2022-05-16T16:29:35Z,1,25,30
662075026,Carbonable/metadata,"{'Cairo': 1203175, 'Shell': 3802}",True,3,0,1,2023-07-04T09:52:23Z,0,2,30
636357962,Carbonable/metadata-cairo0,"{'Cairo': 893979, 'Makefile': 122}",True,1,1,2,2023-05-04T17:09:58Z,1,1,28
638194781,Carbonable/mint-from-ethereum,"{'Cairo': 15420, 'Solidity': 7428}",True,0,0,1,2023-05-09T09:26:37Z,0,0,19
571778091,Carbonable/starkvest,"{'Cairo': 57271, 'Shell': 9217}",True,0,0,0,2022-11-28T21:34:35Z,0,0,30
486585882,CarmineOptions/carmine-protocol,"{'Cairo': 896011, 'Python': 35280, 'Shell': 4858, 'Makefile': 762}",True,27,2,10,2022-04-28T12:30:49Z,6,6,30
577256323,CarmineOptions/Chronos-Oracle,{'Cairo': 25332},True,4,2,0,2022-12-12T10:34:32Z,0,0,30
628552377,CarmineOptions/governance,"{'Cairo': 57130, 'Makefile': 273}",True,5,2,3,2023-04-16T10:04:23Z,2,2,30
525635698,comoco-labs/starknet-contracts,"{'Cairo': 93481, 'Python': 31852, 'Makefile': 139}",True,6,2,0,2022-08-17T04:14:01Z,0,0,30
479410235,checkpoint-labs/checkpoint,"{'TypeScript': 121680, 'JavaScript': 2289}",False,47,5,19,2022-04-08T13:54:22Z,2,25,30
664292494,Scotthamy/disperse-starknet,"{'TypeScript': 11915, 'CSS': 10684, 'Cairo': 1663, 'JavaScript': 111}",True,0,1,0,2023-07-09T14:22:18Z,0,0,17
